constructo,cond,id_celda_real,variante,nulo,canal,k,estimador,n_trazas,n_pares,im_obs,umbral_p95,nulo_media,nulo_sd,p_perm,rechaza,p_holm,confirma
E215C,10uM,0,terciles,orden,dwell,4,mm,194,1287,0.0183167,0.00563931,0.00104866,0.00260697,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell,4,pt,194,1287,0.0183167,0.00563931,0.00104866,0.00260697,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell,4,nsb,194,1287,0.0151466,0.00308747,0.000579782,0.00133998,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,paso,4,plugin,194,1287,0.0649257,0.0141661,0.00791149,0.00342946,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,paso,4,mm,194,1287,0.0626837,0.0119241,0.00566954,0.00342946,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,paso,4,pt,194,1287,0.0626837,0.0119241,0.00566954,0.00342946,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,paso,4,nsb,194,1287,0.0608084,0.0100259,0.00417972,0.00307902,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell_paso,4,plugin,194,1287,0.135799,0.0120532,0.00626721,0.00309797,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell_paso,4,mm,194,1287,0.132436,0.00869032,0.00290429,0.00309797,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell_paso,4,pt,194,1287,0.132436,0.00869032,0.00290429,0.00309797,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell_paso,4,nsb,194,1287,0.130327,0.00621328,0.00174088,0.0022788,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,evento,8,plugin,194,1287,0.546334,0.356045,0.326848,0.0176509,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,evento,8,mm,194,1287,0.349042,0.141178,0.108717,0.0200151,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,evento,8,pt,194,1287,0.253199,0.0601076,0.0309103,0.0176509,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,evento,8,nsb,194,1287,0.234838,0.026195,-0.00624892,0.0196255,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell,8,plugin,194,1287,0.0652281,0.0397921,0.0297067,0.00579112,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell,8,mm,194,1287,0.0377642,0.0123282,0.00224282,0.00579112,0.000999001,True,0.002997,True
